index,date,north,east,individ,gender
SEP0164185,2020-10-17,6975265,622018,NRM_1736,Hane
SEP0164390,2020-09-07,7055734,686133,BI407186,Hane
SEP0184719,2020-08-21,7087328,547723,BI040996,Hona
SEP0184800,2020-09-13,6956660,509145,NRM_608,Hona
SEP0184806,2020-09-11,6962527,510149,NRM_913,Hona
SEP0184816,2020-08-21,6949272,503378,NRM_1079,Hane
SEP0184820,2020-08-21,6952437,494279,BI406980,Hane
SEP0184821,2020-10-17,7044822,620396,BI080515,Hane
SEP0184824,2020-09-10,6956542,499602,BI407355,Hane
SEP0184829,2020-09-05,6965462,509172,NRM_913,Hona
SEP0184835,2020-09-10,6962127,500368,BI407355,Hane
SEP0184852,2020-08-21,6943103,496685,NRM_613,Hane
SEP0184855,2020-09-09,6953493,503414,BI407355,Hane
SEP0184859,2020-08-28,6971923,500865,NRM_1038,Hane
SEP0184876,2020-09-02,6972048,508993,NRM_913,Hona
SEP0184879,2020-09-09,7091824,457141,NRM_1270,Hane
SEP0184880,2020-09-16,6972730,503716,NRM_913,Hona
SEP0184888,2020-10-17,6951145,490348,BI041095,Hona
SEP0184889,2020-08-28,6975720,500221,BI041529,Hane
SEP0184891,2020-09-17,7085504,548758,BI040996,Hona
SEP0184897,2020-08-28,6950984,506015,NRM_1079,Hane
SEP0184898,2020-09-06,6960831,506737,BI407355,Hane
SEP0184925,2020-10-03,7010346,507125,NRM_698,Hane
SEP0184952,2020-09-10,7001488,503897,NRM_1143,Hane
SEP0184964,2020-09-05,6995911,494390,NRM_884,Hona
SEP0184967,2020-09-17,7100628,497626,NRM_705,Hona
SEP0184972,2020-09-10,7013903,498037,NRM_676,Hona
SEP0185000,2020-09-24,7134906,515209,BI407103,Hona
SEP0185001,2020-09-17,7134282,507682,NRM_720,Hona
SEP0185002,2020-08-21,7131904,514120,NRM_614,Okänt
SEP0185003,2020-08-21,7134329,511220,BI407103,Hona
SEP0185009,2020-08-22,7131582,508560,NRM_1485,Hona
SEP0185011,2020-09-26,7130157,509592,NRM_747,Hona
SEP0185012,2020-09-17,7132053,510331,NRM_720,Hona
SEP0185014,2020-08-25,7131901,513859,NRM_1475,Okänt
SEP0185016,2020-09-12,7060285,503877,NRM_1081,Hona
SEP0185018,2020-08-21,7130000,510714,NRM_615,Okänt
SEP0185019,2020-08-27,7130775,511453,NRM_1476,Hane
SEP0185027,2020-09-18,7129861,510949,NRM_1205,Hane
SEP0185028,2020-09-19,7131197,511358,NRM_720,Hona
SEP0185038,2020-09-13,7084535,539123,BI407202,Hona
SEP0185039,2020-10-01,7127636,497837,NRM_1046,Hona
SEP0185041,2020-09-20,7130813,511512,NRM_720,Hona
SEP0185045,2020-09-09,7132068,496296,NRM_1046,Hona
SEP0185049,2020-08-21,7127215,504047,BI041247,Hona
SEP0185059,2020-10-30,7067590,504669,NRM_817,Hona
SEP0185060,2020-09-21,7118505,548431,BI041291,Hona
SEP0185061,2020-09-18,7124817,498252,BI406767,Hane
SEP0185062,2020-09-16,7132167,495232,NRM_1046,Hona
SEP0185074,2020-08-22,7129654,506601,BI407018,Hona
SEP0185077,2020-09-20,7133321,512034,BI407191,Hona
SEP0185082,2020-09-13,7059804,505622,BI406928,Hona
SEP0185087,2020-09-11,7059987,505604,NRM_907,Hona
SEP0185090,2020-10-31,7066351,501760,NRM_1184,Hane
SEP0185092,2020-09-18,7158928,507961,BI414804,Hane
SEP0185093,2020-09-10,7059488,502823,NRM_1565,Hane
SEP0185094,2020-08-21,7137487,508276,NRM_616,Okänt
SEP0185097,2020-09-13,7060220,503748,NRM_907,Hona
