Vecka,Individ,Kon,LnNamn,Long,Lat,LongIndivid,LatIndivid
42,BI406714,Hona,Västernorrlands,659343,7081533,658940.0909090909,7075739.2727272725
40,BI406570,Hane,Västernorrlands,624992,7031797,634363.375,7036590.625
40,NRM_634,Hona,Västernorrlands,624994,7031762,621596.875,7037214.75
39,NRM_988,Hona,Västernorrlands,686948,7057153,689010.6666666666,7060518.333333333
42,NRM_771,Hona,Västernorrlands,598246,6958793,599351.8181818182,6968584.545454546
41,NRM_1102,Hane,Västernorrlands,589912,6966334,594738.5,6969876.75
43,NRM_702,Hane,Västernorrlands,662557,7080550,681550.8333333334,7064040.5
42,NRM_727,Hane,Västernorrlands,659573,7081276,660626.6,7081102.2
39,BI406629,Hona,Västernorrlands,651290,6986555,650790.7027027027,6993616.378378378
39,NRM_636,Hane,Västernorrlands,639344,7044212,639073.5,7041773
44,NRM_1036,Hona,Västernorrlands,663741,7070392,664295,7070073.666666667
44,NRM_1553,Hane,Västernorrlands,662801,7070463,662801,7070463
41,NRM_634,Hona,Västernorrlands,625028,7032445,621596.875,7037214.75
41,NRM_768,Hona,Västernorrlands,635339,7074854,635473.8571428572,7077460.428571428
42,NRM_963,Hona,Västernorrlands,688268,7061754,683977.25,7061771.625
42,BI406730,Hona,Västernorrlands,679005,7056403,679637.2307692308,7063192.538461538
43,NRM_977,Hane,Västernorrlands,683316,7064965,678908.5714285715,7063779.857142857
42,BI407186,Hane,Västernorrlands,672787,7064527,681122.1875,7060038.5625
41,NRM_1108,Hona,Västernorrlands,602248,6961378,593997,6972879.333333333
39,NRM_660,Hane,Västernorrlands,590998,6952849,579307.0588235294,6961458.117647059
37,NRM_965,Hona,Västernorrlands,593278,6949216,593528.6,6947782.8
42,NRM_846,Hona,Västernorrlands,570196,7038096,572522,7035837.5
37,BI407001,Hona,Västernorrlands,564115,7031953,562111.1666666666,7045687.333333333
37,BI040898,Hona,Västernorrlands,568760,7042685,569839.75,7046490
35,NRM_765,Hane,Västernorrlands,553404,7053749,552870.1875,7060147.25
41,NRM_634,Hona,Västernorrlands,625028,7032445,621596.875,7037214.75
40,NRM_703,Hane,Västernorrlands,578461,6956888,576969.8888888889,6955896.111111111
37,BI041489,Hane,Västernorrlands,579203,6967599,575874,6965845.888888889
41,NRM_1102,Hane,Västernorrlands,591421,6973158,594738.5,6969876.75
40,NRM_654,Hane,Västernorrlands,665407,7085489,666224,7087317
42,NRM_1059,Hane,Västernorrlands,657267,7063569,656314.1666666666,7063972.833333333
34,NRM_1454,Hona,Västernorrlands,609394,7042128,609394,7042128
37,NRM_780,Hona,Västernorrlands,622091,6973794,620860.5,6973712.5
38,NRM_1262,Hona,Västernorrlands,587815,6958154,586665.5,6958242.5
38,NRM_703,Hane,Västernorrlands,578564,6956608,576969.8888888889,6955896.111111111
38,BI080391,Hona,Västernorrlands,567448,6903612,567448,6903612
37,BI406559,Hane,Jämtlands,571077,6966027,559181.25,6968238.75
37,NRM_781,Hane,Västernorrlands,603991,6931894,599636.5714285715,6940028.428571428
35,NRM_1297,Hona,Västernorrlands,564499,6904770,564527.6666666666,6904541
34,NRM_781,Hane,Västernorrlands,599084,6941903,599636.5714285715,6940028.428571428
36,NRM_771,Hona,Västernorrlands,600962,6958014,599351.8181818182,6968584.545454546
38,BI407055,Hane,Jämtlands,555678,7063975,555678,7063975
37,NRM_1057,Hane,Västernorrlands,615229,6936482,610339.0833333334,6938182.916666667
37,NRM_765,Hane,Västernorrlands,551307,7061043,552870.1875,7060147.25
36,BI406500,Hona,Västernorrlands,575349,7053546,579319.2,7045475.6
38,NRM_745,Hane,Västernorrlands,578629,7031669,578415,7035902.5
35,NRM_910,Hona,Västernorrlands,581286,7053321,582206.8333333334,7056010.5
38,NRM_1282,Hona,Jämtlands,558856,7064313,558856,7064313
38,NRM_765,Hane,Västernorrlands,564154,7056037,552870.1875,7060147.25
39,NRM_1338,Hona,Västernorrlands,630829,7022903,630829,7022903
37,NRM_1179,Hona,Västernorrlands,624814,6994657,628079.6666666666,6998803.333333333
35,NRM_865,Hona,Västernorrlands,625073,6983342,626374.3846153846,6977443.076923077
37,NRM_691,Hane,Västernorrlands,630504,6985289,620345,6985723.25
37,NRM_911,Hane,Västernorrlands,641202,6973342,633477.3333333334,6973822.666666667
36,NRM_865,Hona,Västernorrlands,625157,6984242,626374.3846153846,6977443.076923077
39,NRM_771,Hona,Västernorrlands,600978,6960575,599351.8181818182,6968584.545454546
38,BI414855,Hane,Västernorrlands,595593,7048909,595863.8181818182,7043701.909090909
42,BI414855,Hane,Västernorrlands,595413,7047681,595863.8181818182,7043701.909090909
41,BI406696,Hona,Västernorrlands,599869,7049653,605754.8181818182,7052912.363636363
37,BI406858,Hane,Västernorrlands,605414,7038877,614894.5,7036526.75
39,NRM_819,Hona,Västernorrlands,605738,7039952,602137,7041780
36,NRM_773,Hane,Västernorrlands,602802,7022025,598226.25,7017908.375
42,NRM_912,Hona,Västernorrlands,592635,7049625,587250.75,7049048
35,BI406692,Hane,Västernorrlands,613829,7044199,607638.25,7047338.916666667
37,NRM_883,Hona,Västernorrlands,616072,6975119,616072,6975119
39,NRM_1057,Hane,Västernorrlands,610406,6946301,610339.0833333334,6938182.916666667
38,NRM_1057,Hane,Västernorrlands,613477,6944246,610339.0833333334,6938182.916666667
39,NRM_1255,Hane,Västernorrlands,614265,6958470,616367.6,6958944
39,BI406576,Hona,Västernorrlands,596954,7047909,600999,7045288
35,NRM_1032,Hane,Västernorrlands,631070,7024947,630141,7028586.5
37,NRM_1094,Hane,Västernorrlands,672892,7054023,664979,7065381
38,NRM_1239,Hona,Västernorrlands,670768,7070681,671545,7072571.666666667
42,BI406629,Hona,Västernorrlands,648179,6995841,650790.7027027027,6993616.378378378
37,NRM_1218,Hane,Västernorrlands,580575,7035257,581198.25,7034882.25
37,NRM_1218,Hane,Västernorrlands,578556,7033804,581198.25,7034882.25
37,NRM_912,Hona,Västernorrlands,586953,7038875,587250.75,7049048
37,NRM_782,Hane,Västernorrlands,596451,7045656,596451,7045656
38,NRM_992,Hona,Västernorrlands,575835,7044559,580345,7047033.5
37,NRM_992,Hona,Västernorrlands,584855,7049508,580345,7047033.5
37,BI414855,Hane,Västernorrlands,604469,7023581,595863.8181818182,7043701.909090909
37,BI414855,Hane,Västernorrlands,593436,7047596,595863.8181818182,7043701.909090909
37,NRM_956,Hane,Västernorrlands,593559,7046819,596144.5,7052846
37,BI080515,Hane,Västernorrlands,600045,7042532,609371.9,7043046.3
42,BI080515,Hane,Västernorrlands,609945,7038857,609371.9,7043046.3
